4006097226060;JUNE;1
4006097226374;JUNE;1
4006097226404;JUNE;1
4006097226442;JUNE;3
4006097226459;JUNE;1
4006097226671;JUNE;1
4006097226688;JUNE;1
4006097226701;JUNE;1
4006097226749;JUNE;3
4006097226763;JUNE;1
4006097226770;JUNE;1
4006097226787;JUNE;1
4006097228323;JUNE;1
4006097228330;JUNE;1
4006097957575;JUNE;1
4006097957599;JUNE;1
4006097959531;JUNE;1
4023203070485;JUNE;20
4023203070492;JUNE;8
4023203070508;JUNE;37
4023203072151;JUNE;34
4023203072168;JUNE;3
4023203072175;JUNE;13
4023203072205;JUNE;10
4023203072212;JUNE;8
4023203072229;JUNE;1
4023203072236;JUNE;15
4023203072243;JUNE;18
4023203072250;JUNE;3
4023203072267;JUNE;12
4023203073202;JUNE;17
4023203073219;JUNE;18
4023203073226;JUNE;19
4023203073233;JUNE;39
4023203073240;JUNE;34
4023203073257;JUNE;16
4023203073264;JUNE;19
4023203073295;JUNE;22
4023203073301;JUNE;22
4023203073523;JUNE;28
4023203073530;JUNE;40
4023203073547;JUNE;23
4023203073554;JUNE;41
4023203073561;JUNE;20
4023203747226;JUNE;1
4023203747233;JUNE;1
4032045069625;JUNE;1
4032045069670;JUNE;3
4032045069731;JUNE;1
4032045069748;JUNE;2
4032045069755;JUNE;2
4032045069809;JUNE;2
4032045069823;JUNE;1
4042779202069;JUNE;1
4042779968040;JUNE;1
4058823081535;APRIL;16
4058823081542;APRIL;16
4058823081559;APRIL;39
4058823081566;APRIL;41
4058823081573;APRIL;38
4058823081580;APRIL;16
4058823081597;APRIL;14
4058823081627;APRIL;14
4058823081634;APRIL;8
4058823081641;APRIL;43
4058823081658;APRIL;43
4058823081665;APRIL;35
4058823081672;APRIL;4
4058823081689;APRIL;5
4058823082792;JUNE;26
4058823082815;JUNE;18
4058823082822;JUNE;28
4058823082853;JUNE;34
4058823082860;JUNE;35
4058823082891;JUNE;46
4058823082907;JUNE;52
4058823082938;JUNE;40
4058823082945;JUNE;36
